SiteID,X,Y,Location
403,316330,234666,BERESFORD PLACE GARDINER STREET ABBEY ST
404,313801,234413,PARKGATE STREET HEUSTON BRIDGE
405,315080,236620,HARTS CORNER
406,,,FINGLAS RD  ST VINCENTS SCHOOL
408,313836,235921,CABRA RD  QUARRY RD
410,310306,231917,NAAS RD CARRIGLEA INDUSTRIAL ESTATE
411,319377,231212,MERRION RD MERRION VILLAGE
412,310093,233737,BALLYFERMOT EAST OF RBT
416,315816,235345,GARDINER PLACE TEMPLE ST
418,315351,234382,CAPEL STREET ABBEY STREET
419,315418,234719,JERVIS STREET PARNELL STREET ILAC CENTRE
420,313885,234286,VICTORIA QUAY ST JOHN'S ROAD
421,316175,233482,ST STEPHENS GREEN KILDARE ST
422,313338,235944,NAVAN RD RATOATH RD
423,313271,233405,SCR BROOKFIELD RD
424,313200,237200,BROOMBRIDGE
425,318774,238699,KILMORE RD ROUNDABOUT
428,316586,236586,GRACE PK RD ST JOSEPHS
429,314453,235665,NCR CHARLEVILLE RD
430,314746,238299,BALLYGALL RD EAST FITZMAURICE RD
431,318306,238625,SKELLYS LANE MONTROSE AV ST AGNES
432,315472,235843,NCR GLENGARIFF PARADE
433,312388,239093,MELLOWS RD COMMUNITY CENTRE/ KILDONAN ROAD
434,,,Stannaway Rd @ Cashel Rd
435,314152,236269,FAUSSAGH RD ST EITHNE RD
437,314506,230439,TERENURE RD NTH @ CLINIC
438,314319,234937,MANORSTREET MANOR PLACE KIRWAN STREET
439,316672,234225,TOWNSEND ST LOMBARD ST
441,319658,231046,MERRION GATES
443,318396,236230,CLONTARF ROAD EMBANKMENT ROAD ALFIE BYRNE ROAD
444,317745,235813,POS EMBANKMENT RD
445,317624,235602,EAST WALL RD ALFIE BYRNE ROAD
447,312687,240030,NORTH RD PLUNKETT AV
448,317443,231727,MOREHAMPTON RD BELMONT AV
451,,,STRAND RD ROSLYN PK BRAY
452,318536,231930,MERRION RD SHREWSBURY RD
453,310179,232927,KYLEMORE RD REHAB CENTRE
454,316294,233850,NASSAU ST KILDARE ST MOLESWORTH ST
455,312951,236139,NAVAN RD SKREEN RD
456,320164,239434,MALAHIDE RD GREENCASTLE RD
457,323301,239012,KILBARRACK RD KILBARRACK AV
458,314069,237539,FINGLAS RD BALLYBOGGAN RD
459,314294,237182,FINGLAS RD SLANEY RD
460,314923,230839,RATHGAR AV GARVILLE AV
461,318237,237020,MALAHIDE RD MOUNT TEMPLE
462,317242,237030,GRAND CANAL ST CLANWILLIAM PL
463,311739,233273,TYRCONNELL RD TYRCONNELL PK
464,313607,230714,KIMMAGE RD CORRIB RD
465,316745,233411,MERRION SQUARE UPPER MOUNT ST
466,320488,239698,MALAHIHDE RD DARNDALE (ITT)
467,320676,240058,MALAHIDE RD DARNDALE (OOT)
