Route,Link,Direction,TCS1,TCS2,WKT
17,3,1,152,37,LINESTRING(314568 234312 comma 314871 234183)
17,3,2,37,152,LINESTRING(314871 234183 comma 314568 234312)
17,4,1,37,193,LINESTRING(314871 234183 comma 315127 234119)
17,4,2,193,37,LINESTRING(315127 234119 comma 314871 234183)
17,5,1,193,26,LINESTRING(315127 234119 comma 315385 234261)
17,5,2,26,193,LINESTRING(315385 234261 comma 315127 234119)
17,6,1,26,197,LINESTRING(315385 234261 comma 315958 234447)
17,6,2,197,26,LINESTRING(315958 234447 comma 315385 234261)
17,7,1,197,17,LINESTRING(315958 234447 comma 316233 234525)
17,7,2,17,197,LINESTRING(316233 234525 comma 315958 234447)
18,1,1,183,196,LINESTRING(316234 234430 comma 315977 234356)
18,1,2,196,183,LINESTRING(315977 234356 comma 316234 234430)
18,2,1,196,26,LINESTRING(315977 234356 comma 315385 234261)
18,2,2,26,196,LINESTRING(315385 234261 comma 315977 234356)
18,3,1,26,193,LINESTRING(315385 234261 comma 315127 234119)
18,3,2,193,26,LINESTRING(315127 234119 comma 315385 234261)
18,4,1,193,37,LINESTRING(315127 234119 comma 314871 234183)
18,4,2,37,193,LINESTRING(314871 234183 comma 315127 234119)
18,5,1,37,152,LINESTRING(314871 234183 comma 314568 234312)
18,5,2,152,37,LINESTRING(314568 234312 comma 314871 234183)
18,6,1,152,760,LINESTRING(314568 234312 comma 314436 234248)
18,6,2,760,152,LINESTRING(314436 234248 comma 314568 234312)
18,7,1,760,190,LINESTRING(314436 234248 comma 314328 234343)
18,7,2,190,760,LINESTRING(314328 234343 comma 314436 234248)
18,8,1,190,420,LINESTRING(314328 234343 comma 313885 234286)
18,8,2,420,190,LINESTRING(313885 234286 comma 314328 234343)
19,1,1,49,50,LINESTRING(315640 234050 comma 315752 234061)
19,1,2,50,49,LINESTRING(315752 234061 comma 315640 234050)
19,2,1,50,272,LINESTRING(315752 234061 comma 315856 234080)
19,2,2,272,50,LINESTRING(315856 234080 comma 315752 234061)
19,3,1,272,229,LINESTRING(315856 234080 comma 315975 234202)
19,3,2,229,272,LINESTRING(315975 234202 comma 315856 234080)
19,4,1,229,196,LINESTRING(315975 234202 comma 315977 234356)
19,4,2,196,229,LINESTRING(315977 234356 comma 315975 234202)
20,1,1,197,196,LINESTRING(315958 234447 comma 315977 234356)
20,1,2,196,197,LINESTRING(315977 234356 comma 315958 234447)
20,2,1,196,232,LINESTRING(315977 234356 comma 316095 234261)
20,2,2,232,196,LINESTRING(316095 234261 comma 315977 234356)
20,3,1,232,226,LINESTRING(316095 234261 comma 315957 234092)
20,3,2,226,232,LINESTRING(315957 234092 comma 316095 234261)
20,4,1,226,272,LINESTRING(315957 234092 comma 315856 234080)
20,4,2,272,226,LINESTRING(315856 234080 comma 315957 234092)
20,5,1,272,50,LINESTRING(315856 234080 comma 315752 234061)
20,5,2,50,272,LINESTRING(315752 234061 comma 315856 234080)
20,6,1,50,49,LINESTRING(315752 234061 comma 315640 234050)
20,6,2,49,50,LINESTRING(315640 234050 comma 315752 234061)
21,1,1,38,142,LINESTRING(314945 232709 comma 315114 233450)
21,1,2,142,38,LINESTRING(315114 233450 comma 314945 232709)
21,2,1,142,126,LINESTRING(315114 233450 comma 315128 233640)
21,2,2,126,142,LINESTRING(315128 233640 comma 315114 233450)
21,3,1,126,35,LINESTRING(315128 233640 comma 315143 233913)
21,3,2,35,126,LINESTRING(315143 233913 comma 315128 233640)
21,4,1,35,48,LINESTRING(315143 233913 comma 315440 234041)
21,4,2,48,35,LINESTRING(315440 234041 comma 315143 233913)
21,5,1,48,49,LINESTRING(315440 234041 comma 315640 234050)
21,5,2,49,48,LINESTRING(315640 234050 comma 315440 234041)
22,1,1,503,181,LINESTRING(312764 233723 comma 316720 239166)
22,1,2,181,503,LINESTRING(316720 239166 comma 312764 233723)
22,2,1,181,180,LINESTRING(316720 239166 comma 316875 238918)
22,2,2,180,181,LINESTRING(316875 238918 comma 316720 239166)
22,3,1,180,15,LINESTRING(316875 238918 comma 317631 238690)
22,3,2,15,180,LINESTRING(317631 238690 comma 316875 238918)
22,4,1,15,43,LINESTRING(317631 238690 comma 317228 238198)
22,4,2,43,15,LINESTRING(317228 238198 comma 317631 238690)
22,5,1,43,691,LINESTRING(317228 238198 comma 316642 237856)
22,5,2,691,43,LINESTRING(316642 237856 comma 317228 238198)
22,6,1,691,64,LINESTRING(316642 237856 comma 316472 237592)
22,6,2,64,691,LINESTRING(316472 237592 comma 316642 237856)
22,7,1,64,65,LINESTRING(316472 237592 comma 316344 237240)
22,7,2,65,64,LINESTRING(316344 237240 comma 316472 237592)
22,8,1,65,66,LINESTRING(316344 237240 comma 316186 236792)
22,8,2,66,65,LINESTRING(316186 236792 comma 316344 237240)
22,9,1,66,750,LINESTRING(316186 236792 comma 316154 236657)
22,9,2,750,66,LINESTRING(316154 236657 comma 316186 236792)
22,10,1,750,63,LINESTRING(316154 236657 comma 315995 236194)
22,10,2,63,750,LINESTRING(315995 236194 comma 316154 236657)
22,11,1,63,67,LINESTRING(315995 236194 comma 315906 236017)
22,11,2,67,63,LINESTRING(315906 236017 comma 315995 236194)
22,12,1,67,61,LINESTRING(315906 236017 comma 315794 235793)
22,12,2,61,67,LINESTRING(315794 235793 comma 315906 236017)
22,13,1,61,59,LINESTRING(315794 235793 comma 315742 235708)
22,13,2,59,61,LINESTRING(315742 235708 comma 315794 235793)
22,14,1,59,58,LINESTRING(315742 235708 comma 315543 235366)
22,14,2,58,59,LINESTRING(315543 235366 comma 315742 235708)
23,1,1,73,72,LINESTRING(317980 236330 comma 317437 236152)
23,1,2,72,73,LINESTRING(317437 236152 comma 317980 236330)
23,2,1,72,132,LINESTRING(317437 236152 comma 317281 235971)
23,2,2,132,72,LINESTRING(317281 235971 comma 317437 236152)
23,3,1,132,194,LINESTRING(317281 235971 comma 317205 235793)
23,3,2,194,132,LINESTRING(317205 235793 comma 317281 235971)
23,4,1,194,282,LINESTRING(317205 235793 comma 316965 235479)
23,4,2,282,194,LINESTRING(316965 235479 comma 317205 235793)
23,5,1,282,2,LINESTRING(316965 235479 comma 316780 235268)
23,5,2,2,282,LINESTRING(316780 235268 comma 316965 235479)
23,6,1,2,3,LINESTRING(316780 235268 comma 316534 234866)
23,6,2,3,2,LINESTRING(316534 234866 comma 316780 235268)
23,7,1,3,513,LINESTRING(316534 234866 comma 316481 234716)
23,7,2,513,3,LINESTRING(316481 234716 comma 316534 234866)
24,1,1,472,348,LINESTRING(307970 234002 comma 308685 233820)
24,1,2,348,472,LINESTRING(308685 233820 comma 307970 234002)
24,2,1,348,209,LINESTRING(308685 233820 comma 309261 233755)
24,2,2,209,348,LINESTRING(309261 233755 comma 308685 233820)
24,3,1,209,553,LINESTRING(309261 233755 comma 310689 233739)
24,3,2,553,209,LINESTRING(310689 233739 comma 309261 233755)
24,4,1,553,651,LINESTRING(310689 233739 comma 311355 233730)
24,4,2,651,553,LINESTRING(311355 233730 comma 310689 233739)
24,5,1,651,654,LINESTRING(311355 233730 comma 311568 233710)
24,5,2,654,651,LINESTRING(311568 233710 comma 311355 233730)
24,6,1,654,372,LINESTRING(311568 233710 comma 311991 233668)
24,6,2,372,654,LINESTRING(311991 233668 comma 311568 233710)
24,7,1,372,71,LINESTRING(311991 233668 comma 311888 233439)
24,7,2,71,372,LINESTRING(311888 233439 comma 311991 233668)
24,8,1,71,171,LINESTRING(311888 233439 comma 312772 233588)
24,8,2,171,71,LINESTRING(312772 233588 comma 311888 233439)
24,9,1,171,486,LINESTRING(312772 233588 comma 313728 233830)
24,9,2,486,171,LINESTRING(313728 233830 comma 312772 233588)
24,10,1,486,771,LINESTRING(313728 233830 comma 313906 233897)
24,10,2,771,486,LINESTRING(313906 233897 comma 313728 233830)
24,11,1,771,369,LINESTRING(313906 233897 comma 314521 233917)
24,11,2,369,771,LINESTRING(314521 233917 comma 313906 233897)
24,12,1,369,366,LINESTRING(314521 233917 comma 314655 233881)
24,12,2,366,369,LINESTRING(314655 233881 comma 314521 233917)
24,13,1,366,368,LINESTRING(314655 233881 comma 314854 233911)
24,13,2,368,366,LINESTRING(314854 233911 comma 314655 233881)
24,14,1,368,367,LINESTRING(314854 233911 comma 314901 233938)
24,14,2,367,368,LINESTRING(314901 233938 comma 314854 233911)
24,15,1,367,35,LINESTRING(314901 233938 comma 315143 233913)
24,15,2,35,367,LINESTRING(315143 233913 comma 314901 233938)
24,16,1,35,48,LINESTRING(315143 233913 comma 315440 234041)
24,16,2,48,35,LINESTRING(315440 234041 comma 315143 233913)
24,17,1,48,49,LINESTRING(315440 234041 comma 315640 234050)
24,17,2,49,48,LINESTRING(315640 234050 comma 315440 234041)
25,1,1,58,140,LINESTRING(315543 235366 comma 315668 235188)
25,1,2,140,58,LINESTRING(315668 235188 comma 315543 235366)
25,2,1,140,201,LINESTRING(315668 235188 comma 315805 234990)
25,2,2,201,140,LINESTRING(315805 234990 comma 315668 235188)
25,3,1,201,200,LINESTRING(315805 234990 comma 315824 234926)
25,3,2,200,201,LINESTRING(315824 234926 comma 315805 234990)
25,4,1,200,197,LINESTRING(315824 234926 comma 315958 234447)
25,4,2,197,200,LINESTRING(315958 234447 comma 315824 234926)
26,1,1,197,200,LINESTRING(315958 234447 comma 315824 234926)
26,1,2,200,197,LINESTRING(315824 234926 comma 315958 234447)
26,2,1,200,201,LINESTRING(315824 234926 comma 315805 234990)
26,2,2,201,200,LINESTRING(315805 234990 comma 315824 234926)
26,3,1,201,60,LINESTRING(315805 234990 comma 315435 235165)
26,3,2,60,201,LINESTRING(315435 235165 comma 315805 234990)
27,1,1,144,143,LINESTRING(317203 233928 comma 316942 233976)
27,1,2,143,144,LINESTRING(316942 233976 comma 317203 233928)
27,2,1,143,146,LINESTRING(316942 233976 comma 316616 234077)
27,2,2,146,143,LINESTRING(316616 234077 comma 316942 233976)
27,3,1,146,288,LINESTRING(316616 234077 comma 316429 234133)
27,3,2,288,146,LINESTRING(316429 234133 comma 316616 234077)
27,4,1,288,185,LINESTRING(316429 234133 comma 316233 234265)
27,4,2,185,288,LINESTRING(316233 234265 comma 316429 234133)
27,5,1,185,183,LINESTRING(316233 234265 comma 316234 234430)
27,5,2,183,185,LINESTRING(316234 234430 comma 316233 234265)
27,6,1,183,17,LINESTRING(316234 234430 comma 316233 234525)
27,6,2,17,183,LINESTRING(316233 234525 comma 316234 234430)
27,7,1,17,403,LINESTRING(316233 234525 comma 316330 234666)
27,7,2,403,17,LINESTRING(316330 234666 comma 316233 234525)
27,8,1,403,513,LINESTRING(316330 234666 comma 316481 234716)
27,8,2,513,403,LINESTRING(316481 234716 comma 316330 234666)
27,9,1,513,3,LINESTRING(316481 234716 comma 316534 234866)
27,9,2,3,513,LINESTRING(316534 234866 comma 316481 234716)
27,10,1,3,2,LINESTRING(316534 234866 comma 316780 235268)
27,10,2,2,3,LINESTRING(316780 235268 comma 316534 234866)
28,1,1,2,3,LINESTRING(316780 235268 comma 316534 234866)
